time,rank,symbol,name,price,chg,chg_pct,open,prev,volume,amount
11:01,1,3481,群創,45.6,6.95,0.77,52.2,45.25,1108000,535.8779
11:01,2,2409,友達,22.0,3.8,0.00,25.8,22.0,723080,166.9365
11:01,3,6116,彩晶,10.6,0.28,1.15,10.76,10.48,427514,45.3197
11:01,4,2344,華邦電,13.55,0.85,0.74,14.3,13.45,386041,54.4663
11:01,5,6770,力積電,141.0,8.0,6.02,141.0,133.0,280677,389.7610
11:01,6,1802,台玻,71.2,5.6,4.71,73.6,68.0,271693,193.1407
11:01,7,2002,中鋼,76.3,7.9,4.09,81.2,73.3,247441,193.2344
11:01,8,2303,聯電,31.49,0.79,1.25,31.89,31.1,207368,65.3661
11:01,9,2324,仁寶,20.05,1.05,0.50,21.0,19.95,199865,40.8851
11:01,10,2312,金寶,130.5,5.5,1.95,133.5,128.0,190307,249.2844
11:01,11,2356,英業達,33.25,3.15,1.37,35.95,32.8,178469,61.0603
11:01,12,009816,凱基台灣TOP50,39.0,1.75,1.96,40.0,38.25,165815,65.4930
11:01,13,2408,南亞科,62.1,7.7,0.49,69.5,61.8,135651,87.5899
11:01,14,2337,旺宏,34.4,1.01,0.61,35.2,34.19,122200,42.3603
11:01,15,2489,瑞軒,14.79,0.22,0.54,14.93,14.71,116004,17.1951
11:01,16,2353,宏碁,306.0,18.5,3.55,314.0,295.5,109038,332.2868
11:01,17,00919,群益台灣精選高息,159.5,11.0,5.63,162.0,151.0,105654,166.3976
11:01,18,1303,南亞,51.2,6.8,0.59,57.7,50.9,102149,54.3000
11:01,19,2449,京元電子,31.6,3.05,1.28,34.25,31.2,92663,29.8783
11:01,20,6282,康舒,27.95,0.28,0.72,28.03,27.75,80201,22.3763
11:01,21,2881,富邦金,90.9,6.6,3.53,94.4,87.8,79168,72.5442
11:01,22,2887,台新新光金,21.82,0.61,1.49,22.11,21.5,77566,16.9446
11:01,23,2369,菱生,342.0,40.5,11.04,348.5,308.0,71680,237.2124
11:01,24,2313,華通,61.8,3.7,3.00,63.7,60.0,70516,43.6984
11:01,25,6239,力成,102.0,4.7,4.29,102.5,97.8,58850,58.9105
11:01,26,0050,元大台灣50,24.0,0.65,2.56,24.05,23.4,58782,14.0168
11:01,27,2481,強茂,37.7,1.05,2.86,37.7,36.65,56508,21.1905
11:01,28,2301,光寶科,286.0,16.5,1.24,299.0,282.5,55830,161.8339
11:01,29,00878,國泰永續高股息,18.77,0.45,1.24,18.99,18.54,55679,10.4465
11:01,30,4919,新唐,342.0,16.5,5.07,342.0,325.5,55236,188.4626
11:01,31,3042,晶技,100.75,1.5,0.45,101.8,100.3,54088,54.6244
11:01,32,00891,中信關鍵半導體,10.74,0.16,1.13,10.78,10.62,54088,5.7896
11:01,33,2317,鴻海,147.0,11.5,8.49,147.0,135.5,50674,71.5705
11:01,34,2367,燿華,236.5,17.5,5.58,241.5,224.0,49253,114.9472
11:01,35,00929,復華台灣科技優息,110.5,6.0,2.31,114.0,108.0,48506,54.0193
11:01,36,4906,正文,47033.0,29.83,158580.84,9.0633,29.64,29,0.3500
11:01,37,3576,聯合再生,46731.0,24.08,194856.20,13.8532,23.97,23,0.3800
11:01,38,00940,元大台灣價值高息,43355.0,230.0,19971.76,10.3727,216.0,206,24.0000
11:01,39,6443,元晶,41347.0,212.0,20470.65,90.3794,201.0,182,30.0000
11:01,40,8150,南茂,40895.0,260.5,15598.66,81.8195,260.5,243,17.5000
11:01,41,2484,希華,40734.0,35.56,115523.05,104.6179,35.23,34,0.6400
11:01,42,8110,華東,10.59,4.035,-99.97,0.17,37844.0,258,263.5000
11:01,43,3149,正達,257.0,95.4007,-99.30,6.5,36664.0,66,70.2000
11:01,44,4927,泰鼎-KY,66.1,24.2887,-99.82,4.1,35949.0,100,100.5000
11:01,45,9105,泰金寶-DR,94.7,35.0011,-99.73,5.8,35642.0,29,29.4600
11:01,46,1513,中興電,28.97,10.0549,-99.92,0.49,34348.0,14,14.7400
11:01,47,2618,長榮航,14.46,4.9292,-99.96,0.28,33724.0,681,707.0000
11:01,48,3711,日月光投控,654.0,228.3425,-98.05,53.0,33566.0,42,44.4500
11:01,49,1605,華新,42.0,14.3575,-99.87,2.45,33505.0,18,20.7500
11:01,50,2014,中鴻,18.85,6.566,-99.94,1.9,33309.0,11,11.8400
11:01,51,2883,凱基金,11.74,3.8622,-99.96,0.1,32750.0,42,45.7000
11:01,52,2880,華南金,42.3,14.2621,-99.87,3.4,32521.0,87,88.1000
11:01,53,3673,TPK-KY,83.8,28.0318,-99.74,4.3,32425.0,53,56.4000
11:01,54,4526,東台,50.4,17.3245,-99.84,6.0,32213.0,21,21.7500
11:01,55,4958,臻鼎-KY,21.2,6.6872,-99.93,0.55,31172.0,48,48.7900
11:01,56,2027,大成鋼,48.15,14.7698,-99.84,0.64,30482.0,54,55.1000
11:01,57,3714,富采,50.1,15.9531,-99.83,5.0,30120.0,19,19.5100
11:01,58,3231,緯創,19.11,5.798,-99.94,0.4,30052.0,65,67.9000
11:01,59,2485,兆赫,61.8,18.8283,-99.79,6.1,29127.0,60,65.9000
11:01,60,2382,廣達,59.7,17.9874,-99.79,6.2,28760.0,8,8.1600
11:01,61,2610,華航,8.16,2.2903,-99.97,0.0,28068.0,166,172.0000
11:01,62,1402,遠東新,164.0,45.8798,-99.40,8.0,27341.0,35,36.0500
11:01,63,2891,中信金,35.45,9.731,-99.87,0.6,27211.0,607,636.0000
11:01,64,2882,國泰金,590.0,163.5096,-97.80,46.0,26773.0,14,14.7400
11:01,65,3037,欣興,14.72,3.9087,-99.94,0.02,26538.0,37,38.3000
11:01,66,1717,長興,37.05,9.6409,-99.86,1.25,25694.0,18,19.6000
11:01,67,2884,玉山金,18.25,4.8153,-99.93,1.35,25376.0,21,21.8000
11:01,68,2441,超豐,21.55,5.4453,-99.91,0.25,25102.0,31,31.4500
11:01,69,2890,永豐金,30.85,7.7855,-99.88,0.6,25021.0,87,87.4000
11:01,70,2377,微星,85.2,21.3548,-99.65,2.2,24510.0,44,44.3500
11:01,71,1101,台泥,40.45,10.2799,-99.83,3.9,24034.0,523,539.0000
11:01,72,2402,毅嘉,516.0,126.6065,-97.85,23.0,23945.0,41,44.7500
11:10,1,3481,群創,45.75,6.95,1.10,52.2,45.25,1117000,540.2865
11:10,2,2409,友達,22.0,3.8,0.00,25.8,22.0,734651,169.4826
11:10,3,6116,彩晶,10.6,0.28,1.15,10.76,10.48,437469,46.3748
11:10,4,2344,華邦電,13.7,0.85,1.86,14.3,13.45,390972,55.1355
11:10,5,6770,力積電,141.0,8.0,6.02,141.0,133.0,282619,392.4992
11:10,6,1802,台玻,71.2,5.6,4.71,73.6,68.0,277292,197.1158
11:10,7,2002,中鋼,75.6,7.9,3.14,81.2,73.3,252923,197.3841
11:10,8,2303,聯電,31.48,0.79,1.22,31.89,31.1,211369,66.6252
11:10,9,2324,仁寶,20.05,1.05,0.50,21.0,19.95,201799,41.2728
